Buchungstag,Wertstellung,Zahlungsgegner,IBAN,BIC,Verwendungszweck,Betrag,Währung
2016-12-30,2017-01-01,,,,"Abrechnungszeitraum vom 01.10.2016 bis 31.12.2016 Abrechnung 31.12.2016                                                0,00+  Sollzinssätze am 30.12.2016 10,6900 v.H. für Kontoüberziehungen  Die Anpassungen des Zinssatzes für Kontoüberziehungen sind abhängig von der Entwicklung des 3-Monats-EURIBOR. Abrechnung 30.12.2016",0,EUR
2016-12-30,2017-01-01,,,,"Entgelte vom 01.12.2016 bis 30.12.2016                               4,90-  Grundpreis                  1 x    4,90                4,90- -------------- Abrechnung 30.12.2016                                                4,90- Entgeltabrechnung",-4.9,EUR
2016-12-30,2016-12-30,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5F,281217472719653181256004372 REWE SAGT DANKE. 41404213,-81.6,EUR
2016-12-29,2016-12-29,ARAL AG,DE85500400000600247132,DRESDEFF430,Aral Northeim Westerlange 7 1015616 27.12 14:24,-50.62,EUR
2016-12-27,2016-12-27,ARAL AG,DE85500400000600247132,DRESDEFF430,Aral Berg A9 71017730 22.12 17:46,-14.38,EUR
2016-12-27,2016-12-27,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,"2016-12-23T16:24:31 Karte3 2099-12 Original 226,00 CZK 1 Euro=26,98646000 CZK Ent gelt 0,77 EUR",-9.14,EUR
2016-12-27,2016-12-27,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,"2016-12-23T17:15:04 Karte3 2018-12 Original 849,60 CZK 1 Euro=26,98646000 CZK Ent gelt 0,77 EUR",-32.25,EUR
2016-12-23,2016-12-23,TANK UND RAST,DE93500800000093149400,DRESDEFFXXX,2016-12-22T16:06:04 Karte3 2018-12,-5.98,EUR
2016-12-23,2016-12-23,Wirtshaus Sauer,DE88278937602007218001,GENODEF1SES,2016-12-22T13:39:26 Karte3 2018-12,-34,EUR
2016-12-23,2016-12-23,"DANKE, SAGT IHR REAL TEAM",DE50300500000071018113,WELADEDDXXX,211221363008624181231938370 ELV65395396 21.12 21.36 ME 3,-11.99,EUR
2016-12-22,2016-12-22,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5F,201218422698973181256004373 REWE SAGT DANKE. 41404213,-12.91,EUR
2016-12-21,2016-12-21,DB Vertrieb GmbH,DE02100100100152517108,PBNKDEFFXXX,Fahrschein RO7ERVFahrschein DQPW8T,-41.5,EUR
2016-12-20,2016-12-20,ESSO DEUTSCHLAND GMBH,DE25200800000930401000,DRESDEFF200,2016-12-19T18:48:58 Karte3 2018-12,-64.98,EUR
2016-12-20,2016-12-20,UNTERWEGS BREMEN,DE86300500000001052141,WELADEDDXXX,2016-12-19T17:18:51 Karte3 2018-12,-15.95,EUR
2016-12-20,2016-12-20,GA NR00002061 BLZ29050101 3,,,20.12/08.22UHR SPKHB-F007,-100,EUR
2016-12-20,2016-12-20,"HAIR PROFI, BREMEN",DE90280200501347277400,OLBODEH2XXX,2016-12-19T17:04:51 Karte3 2018-12,-21,EUR
2016-12-20,2016-12-20,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5F,171219162695163181256004373 REWE SAGT DANKE. 41404213,-15.97,EUR
